,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
319,middleton-a-yorkshire-tragedy,ep000259,Tragedy,1605,16,1.0,1.0,1.0,15.0,1,15,16,2,14,0,0,1,120,1,0,6335,6072,305,56,525,0.0,1.0,0.25,1.0,0.6153846153846154,0.666748366013072,16.0,1.0,1.0,0.0,0.0,1.0,23.686012905223432,0.3125,0.3125,0.375,0.0,0.0
320,middleton-anything-for-a-quiet-life,ep000634,Comedy,1621,26,0.8751970877643915,0.7230769230769231,1.2769230769230768,18.07692307692308,2,25,26,6,19,0,0,1,235,5,5,21878,21325,368,965,34,0.011538461538461537,0.801940691065838,0.19102224179401575,1.0,0.48,0.7345201238390092,12.0,0.7230769230769231,1.0,0.23076923076923078,0.4230769230769231,0.34615384615384615,17.988394278866977,0.34615384615384615,0.3076923076923077,0.34615384615384615,0.00565629030280232,0.4114408490986461
321,middleton-fletcher-the-nice-valor,ep000417,Comedy,1622,25,0.8546332548413582,0.7,1.3,16.8,2,24,25,2,23,0,0,1,210,7,5,17163,15916,429,11,1961,0.013043478260869566,0.7885177462296367,0.194776734305921,1.0,0.4642857142857143,0.5013157894736842,10.0,0.7000000000000001,1.0,0.2,0.4,0.4,16.649775350668605,0.0,0.0,0.0,0.0047279682554910215,0.43274395212818806
322,middleton-michaelmas-term,ep000189,Comedy,1604,28,0.8682842157646495,0.708994708994709,1.291005291005291,19.142857142857142,2,27,28,7,21,0,1,1,268,5,5,21434,20205,415,1007,397,0.011192511192511193,0.7963680569550599,0.1839035559093479,0.9285714285714286,0.2727272727272727,0.903601099754946,14.0,0.708994708994709,1.0,0.2857142857142857,0.35714285714285715,0.35714285714285715,18.189577219102475,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.0062690100544820935,0.36891560061528755
323,middleton-more-dissemblers-besides-women,ep000639,Comedy,1614,22,0.8369044131744666,0.4718614718614718,1.58008658008658,9.909090909090908,3,17,22,3,19,0,2,1,109,14,5,21187,20366,278,354,1877,0.029004329004329008,0.6516240769885449,0.1931494503102558,1.0,0.5666666666666667,0.5469861660079052,5.0,0.5828877005347594,0.8095238095238095,0.18181818181818182,0.45454545454545453,0.36363636363636365,25.04519363411941,0.3181818181818182,0.3181818181818182,0.36363636363636365,0.028904302416812733,0.7466118119985015
324,middleton-rowley-heywood-the-old-law,ep000629,Comedy,1618,30,0.8797928903236252,0.7126436781609196,1.2873563218390804,20.666666666666668,2,29,30,6,24,0,1,1,310,5,5,27253,23838,331,315,2189,0.01026272577996716,0.7969260402386699,0.1766500800142899,0.8333333333333334,0.043478260869565216,0.5634319112260289,15.0,0.7126436781609196,1.0,0.26666666666666666,0.4,0.3333333333333333,19.311228002660606,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0047071374245368815,0.48207449795363544
325,middleton-rowley-the-changeling,ep000635,Tragedy,1622,23,0.8884266381978053,0.758893280632411,1.2411067193675889,16.695652173913043,2,22,23,3,19,1,1,1,192,6,5,20245,19607,431,103,2037,0.011481272350837568,0.8242809157933556,0.20480783167414152,1.0,0.8571428571428571,1.0,10.0,0.758893280632411,1.0,0.13043478260869565,0.5217391304347826,0.34782608695652173,14.630972096674457,0.34782608695652173,0.30434782608695654,0.34782608695652173,0.02410059337910144,0.3647192056661199
326,middleton-rowley-the-world-tossed-at-tennis,ep000200,0,1620,21,1.0,0.7428571428571429,1.0,14.857142857142858,1,17,21,8,13,0,0,2,156,2,0,9655,8104,412,100,790,0.0,0.7428571428571429,0.20203062919397602,1.0,0.8235294117647058,0.5733630952380953,10.0,0.8739495798319328,0.85,0.14285714285714285,0.0,0.8571428571428571,63.026836457953046,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
327,middleton-rowley-wit-at-several-weapons,ep000431,Comedy,1613,17,0.9490842490842492,0.8308823529411765,1.1691176470588236,13.294117647058824,2,16,17,5,12,0,0,1,113,5,6,25500,25118,399,215,2307,0.011274509803921567,0.8746703359706456,0.23579681455975993,0.5,0.6,0.6464886964886966,11.0,0.8308823529411765,1.0,0.35294117647058826,0.29411764705882354,0.35294117647058826,20.131877239720964,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.005098643402492451,0.49989301888688514
328,middleton-the-family-of-love,ep000184,Comedy,1603,15,0.9390942390942392,0.9142857142857144,1.0857142857142856,12.8,2,14,15,3,11,1,0,1,96,10,5,21457,20217,306,637,432,0.006593406593406594,0.9291612200435729,0.2570092773789005,0.3333333333333333,0.14285714285714285,0.42857142857142855,7.0,0.9142857142857144,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.125838456182795,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.007412290690154245,0.3437622221749906
