,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
36,boisrobert-amant-ridicule,fre000148,Comedy,1655,4,1.0,1.0,1.0,3.0,1.0,3.0,4,2,2,0,0,1.0,6.0,5,1,2681,2537,2,0,264,0.04712762297901617,0.5688440710604928,0.20444118808452355,0.6,1.0,0.3958333333333333,3.0,1.0,1.0,0.25,0.25,0.5,20.799000754147812,0.25,0.25,0.5,0.0,0.0
37,boisrobert-belle-invisible,fre000149,Tragicomedy,1653,19,0.7155844155844155,0.2807017543859649,1.8011695906432748,5.052631578947368,3.0,16.0,19,3,5,11,0,1.0,48.0,37,0,17496,16484,357,0,1803,0.03333333333333333,0.8032017982017983,0.3107953959673216,0.7027027027027027,0.15789473684210525,0.6414021164021163,3.0,0.3157894736842105,0.8888888888888888,0.2631578947368421,0.3684210526315789,0.3684210526315789,41.14451500879629,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.026210977393005947,0.9594694590661598
38,boisrobert-cassandre,fre000150,Tragicomedy,1653,10,0.8057142857142857,0.7333333333333333,1.2666666666666666,6.6,2.0,9.0,10,2,3,5,0,1.0,33.0,36,5,17555,16274,128,0,1815,0.05392156862745098,0.574177083066678,0.21345089770020828,0.9166666666666666,0.4,0.6161904761904761,3.0,0.7333333333333333,1.0,0.3,0.3,0.4,29.603712014062488,0.3,0.3,0.4,0.003492574552918145,0.6823484297410897
39,boisrobert-rivaux-amis,fre000151,Tragicomedy,1653,17,0.7179950768186063,0.3529411764705882,1.8088235294117647,5.647058823529412,3.0,12.0,17,4,10,3,0,1.0,48.0,27,5,17807,16436,75,0,1843,0.08333333333333333,0.875,0.49625378121401265,0.8148148148148148,0.35294117647058826,0.6955128205128206,3.0,0.4705882352941177,0.75,0.35294117647058826,0.29411764705882354,0.35294117647058826,38.96408757868249,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.010472050249401711,0.6607904011794449
40,bonnetain-apres-le-divorce,fre000167,Comedy,1662,4,0.8333333333333333,0.8333333333333334,1.1666666666666667,2.5,2.0,3.0,4,1,0,3,0,1.0,5.0,5,1,5692,5395,706,194,0,0.0,0.0,1.0,0.8,0.25,0.5,2.0,0.8333333333333334,1.0,0.0,0.5,0.5,32.34278553836681,0.25,0.25,0.5,0.002462111557690418,0.7071067811865475
41,bonnetain-ma-poupee,fre000168,0,1662,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1.0,0.0,1,0,1912,1863,9,36,0,0.0,1.0,0.408248290463863,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1855.0,0.0,0.0,1.0,0.0,0.0
42,boucher-champagne-le-coiffeur,fre000171,Comedy,1662,6,1.0,1.0,1.0,5.0,1.0,5.0,6,2,3,1,0,1.0,15.0,13,1,8177,6265,5,0,864,0.04611528822055138,0.5477630134142144,0.18309065493914828,0.3076923076923077,1.0,0.5930555555555556,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.803477571706082,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
43,boursault-comedie-sans-titre,fre000173,Comedy,1683,21,0.6301865775549986,0.1952380952380952,1.876190476190476,3.9047619047619047,3.0,19.0,21,6,12,3,0,1.0,41.0,32,5,18213,16568,103,1,1922,0.030303030303030304,0.8151839248095932,0.2872237911206999,0.96875,0.14285714285714285,0.5929339477726573,3.0,0.20551378446115287,0.95,0.23809523809523808,0.38095238095238093,0.38095238095238093,33.57432490425956,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01441187884318344,0.9874049230177657
44,boursault-deux-freres-gemeaux,fre000174,Comedy,1665,11,0.8383838383838383,0.7454545454545455,1.2727272727272727,7.454545454545454,3.0,9.0,11,3,6,2,0,1.0,41.0,56,5,18992,18270,200,0,2062,0.044117647058823525,0.5175597852738143,0.19906684925084672,0.5892857142857143,0.7272727272727273,0.49585858585858583,3.0,0.8282828282828283,0.9,0.36363636363636365,0.2727272727272727,0.36363636363636365,15.187153969109001,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0,0.9486832980505138
45,boursault-esope,fre000175,Comedy,1701,17,0.5330532212885154,0.2205882352941176,1.75,3.5294117647058822,2.0,15.0,17,2,12,3,0,2.0,30.0,39,5,23106,22841,221,0,2593,0.0,1.0,0.26726124191242434,1.0,0.17647058823529413,0.61359649122807,2.0,0.23529411764705882,0.9375,0.29411764705882354,0.35294117647058826,0.35294117647058826,59.17692568226023,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.012913430936802922,0.9990079384704211
