id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource/0,digitalSource/1,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
ita######,decio-acripanda,decio-acripanda,,Tragedy,false,Decio,Acripanda,,0,coro,26,5,12,6,5,1,2,0,4462,,29653,29482,76,,,1592,1592,https://archive.org/details/teatroitalianoa00pogggoog,,,,,,4,0.36363636363636365,0.744973544973545,12,10,2,24,2,1.5636363636363637
ep000378,dekker-if-it-be-not-good-the-devil-is-in-it,dekker-if-it-be-not-good-the-devil-is-in-it,,Comedy,false,Dekker,"If It Be Not Good, the Devil Is in It",,0,ep000378-shacklesoul,10,0,54,44,2,7,5,129,2499,,24829,22983,778,1611,,,1611,https://texts.earlyprint.org/works/A20066.xml,,,,,,24,0.4528301886792453,0.8582774842418814,54,53,1,648,2,1.5471698113207548
ep000235,dekker-the-noble-spanish-soldier,dekker-the-noble-spanish-soldier,Q7754258,Tragedy,false,Dekker,The Noble Spanish Soldier,,0,several characters,14,5,20,18,2,0,0,139,1579,0,15647,14954,435,1622,,,1622,https://texts.earlyprint.org/works/A11145.xml,,,,,,17,0.8947368421052632,0.940578775369797,20,19,1,170,2,1.105263157894737
ita######,della-porta-carbonaria,della-porta-carbonaria,,Comedy,false,Della Porta,La carbonaria,,0,pirino|forca,38,5,12,11,1,0,0,1212,0,,28536,28279,127,,,1601,1601,https://it.wikisource.org/wiki/La_carbonaria,,,,,,7,0.6363636363636364,0.8237433862433864,12,10,1,42,3,1.393939393939394
ep000514,denham-the-sophy,denham-the-sophy,,Tragedy,false,Denham,The Sophy,,0,several characters,6,5,22,19,2,0,2,0,2414,,19621,19105,381,1642,,,1642,https://texts.earlyprint.org/works/A35657.xml,,,,,,14.818181818181818,0.7056277056277056,0.8704047430194349,22,21,1,163,2,1.2943722943722944
span######,diamante-hercules-ocana,diamante-hercules-ocana,,,false,Diamante,El Hercules de Ocaña,,0,cespedes,17,3,39,23,6,10,2,0,3365,,16625,16143,717,,,1670,1670,https://books.google.de/books?id=wLxdAAAAcAAJ,https://books.google.com/books?id=BwZGAAAAcAAJ,,,,,10.051282051282051,0.26450742240215924,0.8737149326515843,39,37,1,196,3,1.736842105263158
ita000062,dolce-marianna,dolce-marianna,Q84031425,Tragedy,false,Dolce,Marianna,,0,erode,23,5,17,11,5,1,1,0,3092,0,23356,21966,66,,,1565,1565,http://www.bibliotecaitaliana.it/testo/bibit001117,,R. Ricciardi,Milano [ecc.],1988,,4.666666666666667,0.3333333333333333,0.7168294668294668,15,13,1,35,3,1.6857142857142857
fre000583,du-ryer-clitophon,du-ryer-clitophon,,Tragicomedy,false,Du Ryer,Clitophon,Tragi-Comédie,0,clitophon,58,0,25,21,4,0,0,0,1968,,17667,17064,0,,1629,1632,1629,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLITOPHON.xml,http://theatre-classique.fr/pages/documents/DURYER_CLITOPHON.xml,,,,,5.28,0.22,0.6735917415917414,25,16,1,66,5,2.1566666666666667
ep000539,duffett-the-mock-tempest,duffett-the-mock-tempest,,,false,Duffett,"The Mock Tempest, or The Enchanted Castle",,0,ep000539-alonzo|ep000539-gonzalo,11,5,33,13,12,8,4,636,457,,18179,16353,1020,,,1675,1675,https://texts.earlyprint.org/works/A36759.xml,,,,,,16.06451612903226,0.535483870967742,0.9403146353090736,31,30,1,249,2,1.4645161290322581
ep000572,fane-the-sacrifice,fane-the-sacrifice,,,false,Fane,The Sacrifice,,0,several characters,5,0,20,16,3,1,1,12,2266,,21632,19171,585,,,1687,1687,https://texts.earlyprint.org/works/A40875.xml,,,,,,15.2,0.8,0.9194399554693675,20,19,1,152,2,1.2
