,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,datePremiered,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector
95,nolfi-romilda,ITA,Tragedy,1643,15,0.655911495911496,0.3809523809523809,1.6703296703296704,5.333333333333333,3,0,11,15,2,12,1,2,2,40,29,5,15799,15586,77,0,2276,0.04468864468864469,0.5400804482345836,0.22707514465590364
96,norton-sackville-gorboduc,ENG,Tragedy,1562,18,0.7781866281866283,0.326797385620915,1.5360824742268042,5.555555555555555,3,0,12,18,2,16,0,1,2,50,9,5,15802,14366,39,0,1780,0.021241830065359475,0.424884472045373,0.19831613398489192
97,opitz-judith,GER,0,1635,21,0.6947816733531019,0.2238095238095238,2.1809523809523808,4.476190476190476,4,0,13,21,2,17,2,5,1,47,15,3,5262,3938,9,0,621,0.06215538847117794,0.4745395452800116,0.1888744009537236
98,oransi-rosina,ITA,Comedy,1652,13,0.9445998445998446,0.6538461538461539,1.3461538461538465,7.846153846153846,2,0,12,13,2,11,0,0,1,51,40,3,24975,24738,131,734,0,0.03146853146853147,0.7674325674325675,0.2558116891624114
99,peele-the-love-of-david-and-fair-bathsheba,ENG,Tragedy,1590,30,0.8117217188269821,0.328735632183908,1.696551724137931,9.533333333333331,3,0,26,30,5,25,0,0,1,143,18,0,15738,15135,523,0,1896,0.024876847290640398,0.6014728461577669,0.1650570986876896
100,pix-ibrahim-the-thirteenth-emperor-of-the-turks,ENG,Tragedy,1696,17,0.8916025151319268,0.7647058823529411,1.2352941176470589,12.235294117647058,2,0,16,17,5,12,0,1,1,104,6,5,13804,12475,462,0,1720,0.01568627450980392,0.8293971165724945,0.23723686446575037
101,porter-the-carnival,ENG,Comedy,1664,22,0.9096015439668692,0.8354978354978355,1.1645021645021645,17.545454545454547,2,0,21,22,5,17,0,1,1,193,7,5,17371,16291,800,357,1822,0.008225108225108227,0.8755293125846486,0.2098640038893791
102,racine-thebaide-64,FRE,Tragedy,1664,9,0.8441798941798941,0.6944444444444444,1.3055555555555556,5.555555555555555,2,1664-06-20,8,9,3,6,0,0,1,25,25,5,15842,15289,24,0,1693,0.04365079365079365,0.7869488536155202,0.3217275915696282
103,ravenscroft-dame-dobson,ENG,Comedy,1684,19,0.9355779153766768,0.7894736842105263,1.2105263157894737,14.210526315789474,2,0,18,19,12,7,0,0,1,135,29,5,35582,34162,1055,1446,2,0.01238390092879257,0.8498766547097796,0.2213308230563056
104,reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod,GER,Comedy,1696,16,0.8977564102564102,0.6166666666666667,1.3833333333333333,9.25,2,0,15,16,5,11,0,0,1,74,38,3,14600,14224,543,718,4,0.027380952380952384,0.7376078405290362,0.240462871148689
105,riccoboni-tito-manlio,ITA,Tragedy,1707,10,0.6842857142857144,0.5555555555555556,1.511111111111111,5.0,3,0,8,10,2,7,1,1,1,25,45,3,16492,16212,140,508,0,0.06388888888888888,0.6897115384615384,0.2980742160844253
106,rinckart-eislebische-ritter,GER,0,1613,27,0.7357884629552717,0.3361823361823361,1.6837606837606838,8.74074074074074,3,0,24,27,2,25,0,4,1,118,39,5,19350,16246,2996,1,2457,0.02735042735042735,0.6061215694615338,0.17174627738786205
107,rist-irenaromachia,GER,Tragicomedy,1630,15,1.0,0.4857142857142857,1.0,6.8,1,0,8,15,4,11,0,0,2,51,3,3,11412,9458,385,158,179,0.0,0.4857142857142857,0.20000156451933612
108,rist-perseus,GER,Tragedy,1634,16,0.8264312076812077,0.6083333333333333,1.4,9.125,3,0,14,16,2,14,0,0,1,73,24,3,38263,35576,2478,403,99,0.02857142857142857,0.73187293592126,0.24002439765257108
109,rojas-entre-bobos,ESP,Comedy,1638,16,0.9666666666666668,0.9416666666666668,1.0583333333333331,14.125,2,0,15,16,4,12,0,1,1,113,3,3,16348,15897,544,4,3192,0.0041666666666666675,0.9527698863636364,0.248533559947667
